subgroup,shifts,intensities
AA,"[24.1, 22.771]","[1, 1]"
AD,"[24.301, 23.014]","[1, 1]"
DA,"[27.698, 28.026, 27.5, 27.977]","[1, 1, 1, 1]"
DD,"[28.073, 27.762, 28.077, 27.609]","[1, 1, 1, 1]"
